"","X","length","mercury"
"1",1,57.3097096698351,3.71664831220311
"2",2,78.6386523027477,5.24636047092478
"3",3,50.1839199873949,3.73076882298638
"4",4,53.5505928505462,3.72421720701346
"5",5,49.1501243701131,3.23378270472537
"6",6,63.7152232384172,4.02243614810862
"7",7,43.9132749643572,3.2793605627792
"8",8,75.6819544406185,4.60108500117924
"9",9,36.8072015458903,2.77601827002143
"10",10,60.1202196712884,4.15218409750901
"11",11,59.4505360463184,4.29177812819529
"12",12,56.8288910302606,3.86344353843711
"13",13,61.2135839828662,4.00335342090576
"14",14,57.4421158257891,3.80838876762984
"15",15,66.6319831675209,4.18052857968521
"16",16,53.5952642276707,3.87543868498458
"17",17,62.903566579007,4.44274913426293
"18",18,36.9707804011481,3.22090308386086
"19",19,68.7350090293089,4.39123594579339
"20",20,61.2687973357033,4.35862404410467
"21",21,43.6559391219301,3.26800079722666
"22",22,56.7858230986994,4.1517254178551
"23",23,70.138074425772,4.68208504864114
"24",24,63.4485885656479,3.99384328559285
"25",25,49.0170372997321,3.47128230268556
"26",26,70.3570353193167,4.32425471811747
"27",27,69.8817519825581,4.56493244501732
"28",28,52.3006764757307,3.46632745811565
"29",29,46.9686062914867,3.30880229510674
"30",30,47.2682555596846,3.72447176149619
"31",31,33.9312931424038,2.62164082500061
"32",32,39.7792428510643,3.13482035614329
"33",33,73.0188641185313,4.60605485444346
"34",34,67.2079471410292,4.61594089247257
"35",35,58.1965873647063,3.81983936657549
"36",36,67.4370669262011,4.31613584994668
"37",37,38.9913431288295,3.18467531815714
"38",38,55.7947445093765,3.81340892268775
"39",39,51.358850258516,3.44322831051571
"40",40,59.3253879140124,4.12674166337237
"41",41,35.4219787843585,3.12071471926782
"42",42,57.3909193695818,4.05093751009373
"43",43,57.3040449291866,3.64178999296285
"44",44,64.1465300799433,4.34360556795562
"45",45,49.8200735683005,3.67795057802542
"46",46,68.2729828026282,4.68192766397002
"47",47,59.821984786081,3.71702209557594
"48",48,57.7210419709323,3.94286824097316
"49",49,68.8281036957705,4.76193003090657
"50",50,42.4505032501299,3.67560841533799
"51",51,74.2067923245017,4.56606633728338
"52",52,58.0653041360547,4.15175766214906
"53",53,61.0654966569104,4.02490109825977
"54",54,55.9747590127329,3.68953388040661
"55",55,65.8046954859153,4.71167551373259
"56",56,71.0383833192173,4.79509392868367
"57",57,51.038069418781,3.76438345781702
"58",58,60.2002025825789,3.80138034020984
"59",59,49.1567451912342,3.68458914477697
"60",60,67.897371105468,4.3985868057625
"61",61,50.7209635649498,3.5428012833798
"62",62,55.7307856705186,3.87618512382472
"63",63,57.8611864485374,4.17060461980978
"64",64,45.9076582960825,3.33202017161942
"65",65,58.4175830637809,3.79683358911631
"66",66,47.2972491128743,3.38314937598883
"67",67,62.5381477077397,4.10046851175413
"68",68,49.1989266712814,3.656061704616
"69",69,64.3810408840224,4.04057275111961
"70",70,40.7483731380013,3.53723745638338
"71",71,55.4025482945843,3.57408151890968
"72",72,41.7067632049243,3.14175142148581
"73",73,38.4232724093635,2.86044495242246
"74",74,62.7463664630772,3.59895293204667
"75",75,52.8273872542949,3.8877757562608
"76",76,68.6161937402842,4.76363046724864
"77",77,70.1738209450869,4.24449682376384
"78",78,35.3413679644067,2.39076988401875
"79",79,47.8511467101891,3.28643358683717
"80",80,47.6029541681737,3.76725198162399
"81",81,63.4887790454172,4.36700798912923
"82",82,57.8628733117875,3.81239695296546
"83",83,57.9778745866415,3.96279191280789
"84",84,54.9843035431746,3.88156025792199
"85",85,53.7591760339659,3.93147995380327
"86",86,52.0148435806806,3.63950497766936
"87",87,69.6802535970873,4.45384894170375
"88",88,69.7531961686057,4.86436540695128
"89",89,60.8045064309945,4.3278132691339
"90",90,70.8073034414701,4.89413513194512
"91",91,42.190062178747,3.21571998654279
"92",92,42.5503923669843,3.02998088107839
"93",93,65.1864791083033,4.48680313912401
"94",94,42.0606498331567,3.13136300026554
"95",95,45.0598369507533,3.29784863224009
"96",96,63.6507522330892,4.10859179596539
"97",97,58.9886811672957,4.1791557881299
"98",98,55.4452038587109,4.13484829052061
"99",99,47.5682795422512,3.36588793576415
"100",100,56.799475501281,4.20998334953635
"101",101,76.7747130929034,4.68989848335652
"102",102,70.4942283935556,4.83913927546517
"103",103,52.7778740672008,3.86046652697667
"104",104,44.6127591089807,3.27732551993519
"105",105,70.7171760116954,4.31213528680448
"106",106,52.0804741545833,3.44069869391692
"107",107,72.1536116666447,4.69137739789358
"108",108,61.1987168407539,3.87692312118601
"109",109,59.5992799550418,3.91562219047901
"110",110,51.577982400218,3.72507223395549
"111",111,77.6010665293065,5.19930465234469
"112",112,64.6112265194129,4.25256031289473
"113",113,58.1011138960622,3.84772991656555
"114",114,64.3096588746438,4.15176592007258
"115",115,52.9373958429678,3.49579921345755
"116",116,16.9812605993806,2.04473850357007
"117",117,65.5921614491637,4.57717887777076
"118",118,43.9148952314288,3.5681088253749
"119",119,68.7139513198119,4.39018306031855
"120",120,56.416753970132,4.11602187582611
"121",121,64.4542034374704,4.30791401300368
"122",122,38.4569094573168,3.23527973578597
"123",123,65.5060463109074,4.45048364289791
"124",124,49.8060845701922,3.31171808582007
"125",125,85.4543234014035,5.29314660776913
"126",126,53.7061551313695,3.49171070872011
"127",127,57.7425734653555,3.95797351915719
"128",128,64.8208785185538,4.09233756025681
"129",129,42.8429290651542,3.10251843379011
"130",130,41.4491384138618,3.43351590420505
"131",131,50.9918112608688,3.47466673092386
"132",132,48.9654099680283,3.5941287119915
"133",133,56.6354498143515,3.78688413923447
"134",134,68.6849827519455,4.68979267301839
"135",135,28.6842696343587,2.34422348005811
"136",136,62.9058297949481,4.08957399338403
"137",137,60.12157927192,4.24118712531167
"138",138,59.4433179313739,3.99583759378763
"139",139,53.8677901388351,3.56867530453167
"140",140,43.8143039561399,3.35118746547875
"141",141,43.2296804521627,3.51109980265803
"142",142,44.7842014129304,3.42060161226116
"143",143,57.2865144402934,3.64091346851819
"144",144,78.0931645342173,5.04093729066932
"145",145,78.6651574445992,5.12020477184035
"146",146,52.0348866145434,3.87002285456578
"147",147,51.987871751693,3.32531644385654
"148",148,45.000089386705,3.3068206117618
"149",149,55.6998250995401,4.10551610109506
"150",150,54.6282165694567,4.28449408130433
"151",151,61.0884163696282,3.91014753953971
"152",152,69.5235063558998,4.72466777314131
"153",153,57.25159749974,3.83420614040126
"154",154,50.5394849005679,3.41777017479836
"155",155,64.4038405978382,4.64163276932873
"156",156,58.8269465933405,4.18452209238983
"157",157,57.0565727339433,4.06530862357513
"158",158,65.8746548597417,4.08510295406798
